title,author,age_range,link1,link2,link3,createdAt,updatedAt
Anti-Racist Baby,Ibram X. Kendi,ages 0 - 3,https://rep.club/products/antiracist-baby?_pos=1&_sid=b673dc9a1&_ss=r,https://amzn.to/37xk9pE,https://m.media-amazon.com/images/I/91zuUFIBYDL._AC_UY218_.jpg,2020-06-18,2020-06-18
Saturday,Oge Mora,ages 3 - 6,https://www.loyaltybookstores.com/book/9780316431279,https://amzn.to/2UDAkMI,https://m.media-amazon.com/images/I/71sOfA-MW3L._AC_UY218_.jpg,2020-06-18,2020-06-18
Fry Bread: A Native American Family Story ,Kevin Noble Maillard,ages 3 - 6,https://www.loyaltybookstores.com/book/9781626727465,https://amzn.to/2YIiiu0,https://m.media-amazon.com/images/I/A1A3TEAXNeL._AC_UY218_.jpg,2020-06-18,2020-06-18
We Are Water Protectors,Carole Lindstrom,ages 3 - 6,https://www.loyaltybookstores.com/book/9781250203557,https://amzn.to/3d9MKCE,https://m.media-amazon.com/images/I/A1oCEfCTVUL._AC_UL320_.jpg,2020-06-18,2020-06-18
Ruby's Birds,Mya Thompson,ages 3 - 7,https://www.loyaltybookstores.com/book/9781943645626,https://amzn.to/37Ap7Si,https://m.media-amazon.com/images/I/91YWqZF-AUL._AC_UY218_.jpg,2020-06-18,2020-06-18
Abuela,Arthur Dorros,ages 3 - 7,https://www.loyaltybookstores.com/book/9780140562255,https://amzn.to/2AxQsc3,https://m.media-amazon.com/images/I/51zd7XNIHOL._AC_UL320_.jpg,2020-06-18,2020-06-18
Dim Sum For Everyone!,Grace Lin,ages 3 - 7,https://www.loyaltybookstores.com/search/site/dim%20sum%20for%20everyone,https://amzn.to/2N6kENM,https://m.media-amazon.com/images/I/91hz4HjQPjL._AC_UY218_.jpg,2020-06-18,2020-06-18
The Name Jar,Yangsook Cho,ages 3 - 7,https://www.loyaltybookstores.com/search/site/the%20name%20jar,https://amzn.to/3hBurcR,https://m.media-amazon.com/images/I/91I-X6TQgTL._AC_UY218_.jpg,2020-06-18,2020-06-18
The Big Bed,Bunmi Laditan,ages 4 - 6,https://www.loyaltybookstores.com/book/9780374301231,https://amzn.to/30C1eZ6,https://m.media-amazon.com/images/I/A1dqaStugNL._AC_UY218_.jpg,2020-06-18,2020-06-18
"Rosa Parks: Little People Big Dreams, vol. 9",Lisbeth Kaiser,ages 4 - 7,https://www.loyaltybookstores.com/search/site/rosa%20parks%20little%20people%20big%20dreams,https://amzn.to/2MSARWW,https://m.media-amazon.com/images/I/41TE7nBavmL._AC_UY218_.jpg,2020-06-18,2020-06-18
"Maya Angelou: Little People Big Dreams, vol. 6",Lisbeth Kaiser,ages 4 - 7,https://www.loyaltybookstores.com/search/site/maya%20angelou%20little%20people%20big%20dreams,https://amzn.to/2AsEujC,https://m.media-amazon.com/images/I/51y+m4NwjcL._AC_UY218_.jpg,2020-06-18,2020-06-18
Bee-Bim Bop! ,Linda Sue Park,ages 4 - 7,https://www.loyaltybookstores.com/book/9780547076713,https://amzn.to/2NkIypf,https://m.media-amazon.com/images/I/61+c9qpuV7L._AC_UY218_.jpg,2020-06-18,2020-06-18
Another,Christian Robinson,ages 4 - 8,https://www.loyaltybookstores.com/book/9781534421677,https://amzn.to/2XVPKhu,https://m.media-amazon.com/images/I/61nDeYGDB3L._AC_UY218_.jpg,2020-06-18,2020-06-18
"One Day in the Eucalyptus, Eucalyptus Tree",Daniel Bernstrom,ages 4 - 8,https://www.loyaltybookstores.com/book/9780062354853,https://amzn.to/2N0DjLb,https://m.media-amazon.com/images/I/61lY5s0rgyL._AC_UY218_.jpg,2020-06-18,2020-06-18
Thinker: My Puppy Poet and Me,Eloise Greenfield,ages 4 - 8,https://www.loyaltybookstores.com/book/9781492677246,https://amzn.to/2Biw9z1,https://m.media-amazon.com/images/I/5149-pqj0lL._AC_UY218_.jpg,2020-06-18,2020-06-18
I Am Enough,Grace Byers,ages 4 - 8,https://www.loyaltybookstores.com/book/9780062667120,https://amzn.to/30NdqGF,https://m.media-amazon.com/images/I/51AbnWTJ5nL._AC_UL320_.jpg,2020-06-18,2020-06-18
The Proudest Blue: A Story of Hijab and Family,Ibtihaj Muhammad,ages 4 - 8,https://www.loyaltybookstores.com/book/9780316519007,https://amzn.to/2N3qvUf,https://m.media-amazon.com/images/I/51ubbaQoy7L._AC_UY218_.jpg,2020-06-18,2020-06-18
Dreamers,Yuyi Morales,ages 4 - 8,https://www.loyaltybookstores.com/book/9780823440559,https://amzn.to/2UQI2Dh,https://m.media-amazon.com/images/I/81U7IbADjgL._AC_UY218_.jpg,2020-06-18,2020-06-18
Shaking Things Up: 14 Young Women Who Changed the World,Susan Hood,ages 4 - 8,https://www.loyaltybookstores.com/book/9780062699459,https://amzn.to/3hB2a68,https://m.media-amazon.com/images/I/51Zm3HWoMTL._AC_UY218_.jpg,2020-06-18,2020-06-18
Where Are You From?,Yamile Saied Méndez,ages 4 - 8,https://www.loyaltybookstores.com/book/9780062839930,https://amzn.to/2Y6W1XP,https://m.media-amazon.com/images/I/81Pl+kFalyL._AC_UY218_.jpg,2020-06-18,2020-06-18
Pepe and the Parade: A Celebration of Hispanic Heritage,Tracey Kyle,ages 4 - 8,https://www.loyaltybookstores.com/book/9781499806663,https://amzn.to/2N7lh9V,https://m.media-amazon.com/images/I/71VajJncYqL._AC_UY218_.jpg,2020-06-18,2020-06-18
Be Bold! Be Brave! 11 Latinas who made U.S. History,Naibe Reynoso,ages 5 - 11,https://www.loyaltybookstores.com/book/9781733710329,https://amzn.to/3ekZFDf,https://m.media-amazon.com/images/I/71UdhbUpvlL._AC_UY218_.jpg,2020-06-18,2020-06-18
"Sofia Valdez, Future Prez ",Andrea Beaty,ages 5 - 7,https://www.loyaltybookstores.com/book/9781419737046,https://amzn.to/3dbE1Qe,https://m.media-amazon.com/images/I/71KrQgfscXL._AC_UY218_.jpg,2020-06-18,2020-06-18
The Day You Begin,Jacqueline Woodson,ages 5 - 8,https://www.loyaltybookstores.com/book/9780399246531,https://amzn.to/3cQbi3m,https://m.media-amazon.com/images/I/A1-WVFxoJDL._AC_UY218_.jpg,2020-06-18,2020-06-18
Keats's Neighborhood: An Ezra Jack Keats Treasury,Ezra Jack Keats,ages 5 - 8,https://www.loyaltybookstores.com/book/9780670035861,https://amzn.to/3hznFV3,https://m.media-amazon.com/images/I/71EQiW9I2rL._AC_UY218_.jpg,2020-06-18,2020-06-18
A Kid's Book About Racism,Jelani Memory,ages 5+,https://akidsbookabout.com/products/a-kids-book-about-racism,https://amzn.to/3fAwqfC,https://m.media-amazon.com/images/I/71gUIPFYzbL._AC_UY218_.jpg,2020-06-18,2020-06-18
The Story of Harriet Tubman: A Biography Book for New Readers,Christine Platt,ages 6 - 8,https://www.loyaltybookstores.com/book/9781646111091,https://amzn.to/3hkgz6F,https://m.media-amazon.com/images/I/81kXhku2JXL._AC_UY218_.jpg,2020-06-18,2020-06-18
The Story of Frida Kahlo: A Biography Book for New Readers,Susan B. Katz,ages 6 - 8,https://www.loyaltybookstores.com/book/9781646111602,https://amzn.to/2Yx97fZ,https://m.media-amazon.com/images/I/814cC1il1UL._AC_UY218_.jpg,2020-06-18,2020-06-18
A Different Pond,Bao Phi,ages 6 - 8,https://www.loyaltybookstores.com/book/9781623708030,https://amzn.to/3fD87Oq,https://m.media-amazon.com/images/I/816jNphsaIL._AC_UY218_.jpg,2020-06-18,2020-06-18
Little Leaders: Bold Women in Black History,Vashti Harrison,ages 8 - 12,https://www.loyaltybookstores.com/book/9780316475112,https://amzn.to/2BVdh9G,https://m.media-amazon.com/images/I/51FOAmiLJJL._AC_UY218_.jpg,2020-06-18,2020-06-18
The Hate U Give,Angie Thomas,YA,https://www.loyaltybookstores.com/book/9780062498533,https://amzn.to/2YFfQ7E,https://m.media-amazon.com/images/I/71HZHHDbarL._AC_UY218_.jpg,2020-06-18,2020-06-18
Children of Blood & Bone,Tomi Adeyemi,YA,https://www.loyaltybookstores.com/book/9781250170972,https://amzn.to/37xR1i0,https://m.media-amazon.com/images/I/A1agLFsWkOL._AC_UY218_.jpg,2020-06-18,2020-06-18